I,N,t
0.2,114,100
0.4,136,100
0.6,150,100
0.7999999999999999,273,100
0.9999999999999999,556,100
1.1999999999999997,929,100
1.3999999999999997,1189,100
1.5999999999999996,1394,100
1.7999999999999996,1489,100
1.9999999999999996,1496,100
2.1999999999999993,1449,100
2.3999999999999995,1089,100
2.5999999999999996,792,100
2.7999999999999994,396,100
2.999999999999999,422,100
3.1,1276,100
3.15,1935,100
3.1999999999999993,2279,100
3.25,2447,100
3.3,2229,100
3.35,1759,100
3.3999999999999995,1487,100
3.5,602,100
3.599999999999999,265,100
3.78,82,100
4,80,100
4.2,57,100
