Channel,Counts
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,2
59,1
60,1
61,1
62,0
63,1
64,0
65,0
66,1
67,0
68,0
69,0
70,0
71,1
72,0
73,0
74,1
75,0
76,0
77,1
78,2
79,3
80,8
81,15
82,34
83,58
84,110
85,143
86,221
87,323
88,370
89,438
90,537
91,641
92,706
93,886
94,896
95,961
96,1112
97,1181
98,1149
99,1019
100,997
101,805
102,702
103,451
104,323
105,276
106,193
107,147
108,148
109,143
110,149
111,160
112,152
113,220
114,253
115,270
116,282
117,327
118,385
119,403
120,485
121,539
122,664
123,707
124,846
125,925
126,1089
127,1212
128,1356
129,1477
130,1478
131,1761
132,1891
133,2074
134,2327
135,2771
136,3258
137,4013
138,5038
139,6019
140,7625
141,8917
142,9838
143,10720
144,11097
145,10415
146,9486
147,8302
148,6516
149,5053
150,3574
151,2330
152,1480
153,849
154,467
155,260
156,135
157,91
158,54
159,46
160,46
161,69
162,57
163,76
164,64
165,61
166,64
167,75
168,59
169,60
170,48
171,53
172,52
173,44
174,51
175,39
176,49
177,51
178,49
179,54
180,51
181,50
182,50
183,55
184,46
185,50
186,39
187,39
188,46
189,44
190,54
191,42
192,37
193,43
194,52
195,38
196,48
197,47
198,41
199,56
200,57
201,42
202,43
203,47
204,40
205,39
206,40
207,33
208,33
209,35
210,24
211,50
212,53
213,40
214,38
215,31
216,42
217,41
218,41
219,55
220,37
221,36
222,39
223,40
224,40
225,38
226,49
227,39
228,33
229,34
230,35
231,35
232,35
233,38
234,43
235,45
236,40
237,25
238,33
239,32
240,32
241,34
242,29
243,38
244,29
245,38
246,24
247,38
248,32
249,21
250,38
251,26
252,37
253,30
254,28
255,33
256,23
257,34
258,31
259,32
260,27
261,37
262,23
263,31
264,36
265,25
266,34
267,25
268,39
269,31
270,32
271,33
