Channel,Counts
1,0
2,1
3,0
4,1
5,0
6,1
7,0
8,0
9,1
10,1
11,0
12,2
13,3
14,2
15,3
16,1
17,1
18,4
19,1
20,2
21,4
22,4
23,3
24,4
25,3
26,1
27,2
28,3
29,3
30,12
31,5
32,6
33,7
34,7
35,7
36,8
37,8
38,9
39,12
40,9
41,7
42,6
43,4
44,9
45,7
46,8
47,12
48,15
49,16
50,9
51,12
52,15
53,14
54,17
55,16
56,16
57,25
58,20
59,23
60,24
61,26
62,12
63,17
64,25
65,29
66,34
67,35
68,42
69,45
70,40
71,37
72,46
73,50
74,60
75,51
76,67
77,49
78,55
79,67
80,92
81,100
82,118
83,117
84,161
85,204
86,238
87,287
88,317
89,379
90,462
91,528
92,603
93,666
94,762
95,878
96,924
97,1109
98,1245
99,1364
100,1547
101,1849
102,2110
103,2474
104,2850
105,3454
106,4085
107,4920
108,5780
109,6895
110,7995
111,9157
112,10064
113,10019
114,10256
115,9546
116,8524
117,7327
118,6217
119,5427
120,4677
121,3957
122,3892
123,3607
124,3311
125,3019
126,2660
127,2074
128,1724
129,1421
130,1129
131,876
132,717
133,653
134,590
135,586
136,548
137,589
138,556
139,554
140,605
141,583
142,515
143,603
144,531
145,578
146,590
147,585
148,552
149,624
150,645
151,635
152,680
153,726
154,815
155,872
156,954
157,967
158,1114
159,1144
160,1228
161,1228
162,1365
163,1392
164,1440
165,1446
166,1421
167,1282
168,1356
169,1378
170,1395
171,1426
172,1398
173,1456
174,1567
175,1465
176,1618
177,1621
178,1556
179,1596
180,1716
181,1699
182,1606
183,1458
184,1426
185,1433
186,1340
187,1251
188,1237
189,1052
190,1105
191,1031
192,948
193,928
194,947
195,940
196,964
197,914
198,951
199,860
200,902
201,921
202,990
203,925
204,969
205,1060
206,996
207,1066
208,1249
209,1255
210,1470
211,1493
212,1710
213,1965
214,2190
215,2617
216,2768
217,3274
218,3895
219,4317
220,4769
221,5366
222,5608
223,6046
224,6270
225,6232
226,6257
227,5909
228,5702
229,5299
230,4776
231,4286
232,3827
233,3166
234,2781
235,2296
236,1961
237,1656
238,1341
239,1222
240,1101
241,975
242,948
243,795
244,805
245,769
246,695
247,770
248,713
249,694
250,686
251,642
252,702
253,605
254,664
255,719
256,702
257,725
258,646
259,674
260,669
261,709
262,736
263,676
264,712
265,741
266,755
267,804
268,807
269,804
270,808
271,839
272,886
273,907
274,941
275,987
276,980
277,1062
278,1087
279,1074
280,1117
281,1098
282,1108
283,1152
284,1128
285,1097
286,1083
287,1057
288,1001
289,979
290,939
291,853
292,822
293,781
294,755
295,681
296,680
297,660
298,631
299,547
300,592
301,536
302,529
303,600
304,500
305,516
306,516
307,490
308,481
309,442
310,495
311,491
312,482
313,485
314,470
315,490
316,412
317,462
318,466
319,466
320,441
321,500
322,458
323,446
324,483
325,475
326,467
327,467
328,455
329,482
330,472
331,461
332,459
333,483
334,506
335,464
336,458
337,490
338,471
339,490
340,466
341,465
342,440
343,457
344,471
345,516
346,468
347,464
348,459
349,506
350,478
351,452
352,472
353,511
354,519
355,475
356,523
357,523
358,549
359,557
360,557
361,601
362,619
363,600
364,663
365,696
366,691
367,670
368,765
369,795
370,741
371,760
372,859
373,883
374,814
375,817
376,836
377,831
378,815
379,812
380,835
381,830
382,775
383,786
384,766
385,756
386,718
387,686
388,681
389,669
390,622
