Channel,Counts
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,1
12,0
13,0
14,1
15,1
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,1
27,0
28,0
29,0
30,0
31,1
32,0
33,0
34,1
35,1
36,0
37,0
38,1
39,0
40,0
41,0
42,1
43,1
44,2
45,1
46,0
47,1
48,1
49,1
50,1
51,2
52,2
53,1
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,1
62,1
63,0
64,0
65,1
66,1
67,2
68,1
69,3
70,1
71,2
72,0
73,0
74,3
75,0
76,1
77,0
78,3
79,3
80,2
81,1
82,3
83,7
84,9
85,23
86,16
87,19
88,28
89,49
90,33
91,48
92,57
93,60
94,65
95,73
96,80
97,90
98,88
99,86
100,97
101,86
102,103
103,87
104,100
105,121
106,93
107,109
108,114
109,119
110,131
111,105
112,107
113,128
114,124
115,119
116,107
117,114
118,130
119,129
120,135
121,111
122,122
123,117
124,126
125,128
126,156
127,119
128,136
129,144
130,121
131,146
132,135
133,141
134,135
135,129
136,134
137,121
138,123
139,147
140,150
141,141
142,155
143,137
144,161
145,147
146,153
147,148
148,150
149,177
150,135
151,179
152,168
153,177
154,182
155,224
156,194
157,230
158,204
159,259
160,246
161,243
162,269
163,323
164,273
165,321
166,279
167,292
168,255
169,233
170,233
171,201
172,216
173,197
174,193
175,224
176,206
177,177
178,206
179,221
180,183
181,199
182,213
183,178
184,196
185,166
186,191
187,174
188,167
189,167
190,154
191,160
192,188
193,152
194,156
195,169
196,155
197,159
198,151
199,167
200,165
201,176
202,151
203,170
204,166
205,181
206,168
207,145
208,171
209,151
210,155
211,163
212,184
213,154
214,160
215,175
216,171
217,169
218,166
219,168
220,177
221,147
222,150
223,170
224,168
225,167
226,171
227,158
228,174
229,164
230,180
231,179
232,158
233,192
234,178
235,181
236,175
237,182
238,158
239,190
240,202
241,164
242,150
243,183
244,179
245,196
246,193
247,174
248,172
249,175
250,170
251,171
252,164
253,168
254,159
255,153
256,181
257,172
258,171
259,190
260,199
261,173
262,185
263,157
264,177
265,177
266,172
267,181
268,175
269,201
270,210
271,168
272,168
273,183
274,183
275,193
276,183
277,175
278,169
279,169
