Channel,Counts
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,1
11,1
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,0
38,1
39,1
40,1
41,1
42,1
43,1
44,2
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,2
56,1
57,1
58,0
59,2
60,0
61,2
62,1
63,1
64,4
65,1
66,0
67,2
68,2
69,1
70,3
71,2
72,1
73,0
74,3
75,1
76,1
77,6
78,1
79,2
80,8
81,8
82,22
83,18
84,38
85,48
86,70
87,101
88,128
89,153
90,233
91,239
92,323
93,408
94,490
95,589
96,728
97,851
98,866
99,992
100,1038
101,973
102,904
103,841
104,783
105,692
106,572
107,537
108,483
109,424
110,375
111,313
112,298
113,258
114,262
115,219
116,215
117,215
118,231
119,210
120,221
121,191
122,245
123,228
124,222
125,214
126,243
127,222
128,221
129,219
130,229
131,218
132,225
133,230
134,227
135,258
136,216
137,235
138,244
139,248
140,259
141,224
142,246
143,247
144,252
145,215
146,259
147,253
148,266
149,258
150,290
151,279
152,288
153,298
154,311
155,304
156,341
157,405
158,377
159,406
160,439
161,427
162,445
163,494
164,483
165,497
166,450
167,436
168,397
169,392
170,356
171,373
172,391
173,316
174,317
175,333
176,315
177,350
178,324
179,316
180,316
181,305
182,295
183,336
184,266
185,295
186,304
187,234
188,264
189,266
190,246
191,253
192,249
193,235
194,251
195,254
196,238
197,248
198,280
199,236
200,285
201,254
202,286
203,255
204,282
205,261
206,276
207,260
208,241
209,254
210,275
211,282
212,262
213,265
214,300
215,244
216,272
217,251
218,247
219,270
220,286
221,296
222,270
223,263
224,288
225,255
226,268
227,302
228,275
229,302
230,277
231,293
232,268
233,274
234,261
235,275
236,277
237,276
238,268
239,319
240,256
241,259
242,290
243,280
244,269
245,295
246,298
247,290
248,279
249,301
250,287
251,294
252,283
253,303
254,272
255,291
256,263
257,295
258,291
259,307
260,297
261,287
262,294
263,278
264,272
265,298
266,327
267,287
268,271
269,258
270,286
271,269
272,318
273,279
274,286
275,267
276,274
277,273
278,267
279,289
