Channel,Counts
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,1
52,0
53,0
54,0
55,0
56,1
57,0
58,0
59,2
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,1
72,0
73,0
74,1
75,0
76,0
77,0
78,1
79,0
80,0
81,1
82,4
83,6
84,12
85,8
86,9
87,21
88,12
89,31
90,34
91,48
92,45
93,61
94,56
95,79
96,63
97,67
98,62
99,77
100,77
101,77
102,77
103,92
104,90
105,82
106,79
107,95
108,92
109,107
110,90
111,109
112,87
113,109
114,106
115,97
116,101
117,118
118,99
119,109
120,116
121,88
122,90
123,103
124,110
125,111
126,116
127,109
128,110
129,118
130,102
131,121
132,124
133,103
134,101
135,113
136,110
137,115
138,119
139,135
140,131
141,117
142,119
143,136
144,148
145,142
146,140
147,141
148,121
149,142
150,128
151,150
152,171
153,155
154,168
155,173
156,187
157,203
158,220
159,208
160,238
161,229
162,268
163,278
164,288
165,260
166,263
167,247
168,237
169,253
170,242
171,242
172,169
173,179
174,215
175,188
176,223
177,189
178,189
179,194
180,210
181,197
182,167
183,194
184,169
185,168
186,183
187,186
188,181
189,172
190,151
191,142
192,149
193,142
194,145
195,153
196,157
197,157
198,149
199,161
200,167
201,184
202,151
203,170
204,144
205,135
206,179
207,160
208,146
209,159
210,163
211,184
212,165
213,169
214,162
215,147
216,177
217,164
218,163
219,174
220,169
221,148
222,140
223,168
224,175
225,176
226,175
227,160
228,156
229,168
230,163
231,157
232,158
233,177
234,184
235,150
236,180
237,160
238,169
239,166
240,190
241,167
242,163
243,156
244,153
245,156
246,161
247,170
248,173
249,153
250,147
251,168
252,173
253,168
254,151
255,145
256,142
257,174
258,161
259,151
260,157
261,144
262,162
263,136
264,149
265,172
266,148
267,165
268,155
269,157
270,156
271,175
272,164
273,168
274,184
275,169
276,168
277,169
278,173
279,179
