Number of measurements: 50

Measured values:
X      Y
0      2.966 
10     2.958 
20     2.951 
30     2.944 
40     2.936 
50     2.929 
60     2.92  
70     2.912 
80     2.905 
90     2.898 
100    2.89  
110    2.881 
120    2.875 
130    2.866 
140    2.859 
150    2.853 
160    2.844 
170    2.837 
180    2.83  
190    2.822 
200    2.815 
210    2.807 
220    2.799 
230    2.792 
240    2.785 
250    2.778 
260    2.77  
270    2.763 
280    2.756 
290    2.749 
300    2.741 
310    2.734 
320    2.727 
330    2.719 
340    2.713 
350    2.705 
360    2.698 
370    2.691 
380    2.683 
390    2.676 
400    2.669 
410    2.662 
420    2.655 
430    2.647 
440    2.64  
450    2.633 
460    2.625 
470    2.62  
480    2.612 
490    2.605 


Coefficients of y = k*x + b:
k = -0.0007374
b = 2.964
k_dev = 1.394e-06
b_dev = 0.0002012
